campaign_id,order_id,campaign_type,start_date,end_date,marketing_spend,reach,impressions,clicks,conversion_rate
CAM000043,ORD011563,Google Ads,2023-10-20,2024-08-13,17681,165686,80412,152,0.03
CAM000044,ORD022730,Google Ads,2023-08-01,2024-05-26,3798,187008,234978,1042,0.04
CAM000045,ORD032689,TV Commercial,2023-08-13,2024-08-22,7627,174380,80911,1198,0.02
CAM000046,ORD014870,Social Media,2023-07-03,2024-04-18,8301,100027,21031,1939,0.04
CAM000047,ORD022383,Google Ads,2023-01-26,2024-12-04,8661,27294,75429,586,0.08
CAM000048,ORD016727,Radio Ads,2023-12-03,2024-08-31,12219,72757,56313,1890,0.08
CAM000049,ORD043066,Email Campaign,2023-10-30,2024-03-29,11156,7319,112148,1025,0.06
CAM000050,ORD005588,Email Campaign,2022-12-19,2024-02-17,14928,19036,150231,648,0.03
CAM000051,ORD006145,Radio Ads,2023-03-01,2024-01-06,1312,74733,234958,455,0.05
CAM000052,ORD049243,Google Ads,2023-02-06,2024-07-08,3942,73948,132770,262,0.04
CAM000053,ORD019004,Email Campaign,2023-09-03,2024-03-30,4050,88001,116512,606,0.1
CAM000054,ORD015671,Email Campaign,2023-03-17,2024-10-13,17196,31556,57639,1052,0.1
CAM000055,ORD030832,Social Media,2023-08-03,2024-02-15,1255,46660,117498,1140,0.02
CAM000056,ORD004570,TV Commercial,2023-11-29,2024-11-22,11681,169285,36370,1578,0.05
CAM000057,ORD025155,Social Media,2023-04-16,2024-03-08,4803,180398,48718,603,0.06
CAM000058,ORD038748,TV Commercial,2023-09-14,2024-01-20,13258,161119,27103,506,0.03
CAM000059,ORD001504,Email Campaign,2023-10-23,2024-06-29,7527,126940,63540,916,0.08
CAM000060,ORD027631,Google Ads,2023-03-14,2024-05-13,4146,63786,62346,918,0.03
CAM000061,ORD029758,Social Media,2023-08-20,2024-04-21,12623,89925,57082,1421,0.07
CAM000062,ORD042282,Google Ads,2023-05-09,2024-03-29,11817,86360,180518,457,0.1
CAM000063,ORD013752,TV Commercial,2023-07-03,2024-08-24,18517,107715,236888,279,0.03
CAM000064,ORD019065,TV Commercial,2023-07-18,2024-08-08,9653,25111,212826,1085,0.1
CAM000065,ORD037121,Email Campaign,2023-10-25,2024-10-04,16466,172686,184735,1913,0.05
CAM000066,ORD033357,TV Commercial,2023-09-03,2024-09-11,17531,99673,97608,846,0.02
CAM000067,ORD020635,Email Campaign,2023-09-18,2024-08-25,7534,196017,23968,786,0.09
CAM000068,ORD000175,Social Media,2022-12-30,2024-09-06,14717,93624,54638,1896,0.08
CAM000069,ORD048807,Google Ads,2023-04-16,2024-09-10,19228,199864,53139,1086,0.02
CAM000070,ORD049652,Social Media,2023-06-12,2024-01-19,3525,153822,228828,262,0.06
CAM000071,ORD049751,Email Campaign,2023-03-11,2024-04-09,15436,63377,181293,1020,0.07
CAM000072,ORD037196,Radio Ads,2023-04-16,2024-09-02,13303,16759,163224,631,0.04
CAM000073,ORD038014,Email Campaign,2023-07-06,2024-04-04,19955,152616,24776,1046,0.1
CAM000074,ORD032349,Email Campaign,2023-07-29,2024-02-01,16055,18246,206451,1190,0.09
CAM000075,ORD025643,Social Media,2023-11-21,2024-08-29,11992,8447,224630,1967,0.03
CAM000076,ORD010216,Social Media,2023-12-06,2024-04-22,12750,65102,92266,1180,0.06
CAM000077,ORD049291,Google Ads,2023-04-23,2024-08-15,5239,184072,188661,348,0.08
CAM000078,ORD027145,Social Media,2023-10-12,2024-05-12,4211,9256,168283,883,0.05
CAM000079,ORD001685,Email Campaign,2023-08-09,2024-02-19,9508,159671,9075,1567,0.01
CAM000080,ORD033141,Social Media,2023-03-11,2024-07-16,6510,191553,85087,1315,0.03
CAM000081,ORD017443,Radio Ads,2023-08-31,2024-01-12,3646,122401,18134,1301,0.05
CAM000082,ORD000654,Google Ads,2023-03-03,2024-11-09,5830,138841,27478,1278,0.05
CAM000083,ORD017402,Social Media,2023-01-22,2024-05-19,847,12417,187387,1018,0.09
CAM000084,ORD023456,Social Media,2023-06-15,2024-06-22,1843,197430,82941,73,0.04
CAM000085,ORD018848,TV Commercial,2023-10-07,2024-03-07,13841,101388,210549,1432,0.08
CAM000086,ORD028349,Email Campaign,2023-05-23,2024-10-29,4856,193590,60507,1875,0.04
CAM000087,ORD032273,Email Campaign,2023-05-27,2024-06-29,4495,119316,78835,1128,0.05
CAM000088,ORD001968,Social Media,2023-09-03,2024-01-14,3634,46210,173158,391,0.02
CAM000089,ORD002930,TV Commercial,2023-05-12,2024-08-04,16232,116771,180186,1957,0.07
CAM000090,ORD020622,Radio Ads,2023-04-25,2024-10-20,8400,23382,184942,1836,0.03
CAM000091,ORD049168,Email Campaign,2023-02-25,2024-09-06,8011,33437,87165,287,0.08
CAM000092,ORD014539,Social Media,2023-11-20,2024-08-22,12436,169402,136368,1707,0.09
CAM000093,ORD011087,Radio Ads,2023-08-18,2024-05-04,13229,179777,15729,1758,0.04
CAM000094,ORD017359,Radio Ads,2023-10-06,2024-05-19,7319,151216,33523,608,0.09
CAM000095,ORD024518,Radio Ads,2023-02-03,2024-07-16,15034,196817,204154,653,0.01
CAM000096,ORD011958,Email Campaign,2023-06-01,2024-09-15,13194,101691,222618,856,0.02
CAM000097,ORD029544,Radio Ads,2023-08-13,2024-04-14,7789,81911,149714,99,0.03
CAM000098,ORD036152,Google Ads,2023-03-10,2024-12-02,5539,199474,142741,1091,0.06
CAM000099,ORD016782,Email Campaign,2023-10-07,2024-03-16,3834,195163,89374,1440,0.1
CAM000100,ORD022384,Social Media,2023-06-14,2024-04-19,8662,161652,60058,226,0.09
CAM000101,ORD007469,Social Media,2023-02-11,2024-06-27,5393,15053,90133,1206,0.09
CAM000102,ORD025800,Google Ads,2023-07-08,2024-10-15,18800,118575,129207,365,0.07
CAM000103,ORD005342,TV Commercial,2023-05-10,2024-05-08,16539,70180,35799,1284,0.03
CAM000104,ORD036691,Google Ads,2023-06-08,2024-04-26,6741,62146,84390,326,0.03
CAM000105,ORD002260,TV Commercial,2023-05-22,2024-10-22,14623,6430,144409,888,0.07
CAM000106,ORD021108,Google Ads,2023-05-19,2024-08-15,12089,153926,156008,127,0.07
CAM000107,ORD007950,Email Campaign,2023-08-03,2024-10-19,18663,5441,124539,616,0.03
CAM000108,ORD015097,Google Ads,2023-04-18,2024-06-09,19052,98697,99122,728,0.07
CAM000109,ORD031767,Google Ads,2023-06-19,2024-08-30,16948,47271,146979,520,0.08
CAM000110,ORD005683,Email Campaign,2023-11-13,2024-03-07,5215,83367,155995,68,0.07
CAM000111,ORD042154,Radio Ads,2023-07-04,2024-02-08,9694,81501,199347,1761,0.01
CAM000112,ORD022710,Radio Ads,2023-06-18,2024-01-12,623,27547,175646,1576,0.06
CAM000113,ORD001249,Social Media,2023-06-20,2024-08-06,1491,51285,238010,1946,0.07
CAM000114,ORD012211,Google Ads,2023-04-21,2024-01-12,11263,64828,33454,1891,0.09
CAM000115,ORD034060,Google Ads,2023-09-25,2024-06-13,661,41060,222682,462,0.08
CAM000116,ORD000426,TV Commercial,2023-02-12,2024-10-15,523,50499,230432,623,0.06
CAM000117,ORD029591,Email Campaign,2023-03-05,2024-05-03,1400,154474,166706,1946,0.02
CAM000118,ORD039722,Radio Ads,2023-05-13,2023-12-13,14240,24706,236784,171,0.02
CAM000119,ORD048023,Email Campaign,2022-12-24,2024-06-01,5596,78046,56557,1470,0.01
CAM000120,ORD049362,TV Commercial,2023-06-23,2024-04-27,5812,135629,100120,455,0.07
CAM000121,ORD024406,TV Commercial,2023-02-20,2024-02-17,9867,129266,11170,1695,0.04
CAM000122,ORD027301,Google Ads,2023-05-20,2024-11-09,19209,182122,110623,1288,0.08
CAM000123,ORD009734,Email Campaign,2023-04-19,2024-06-20,4954,32768,226285,547,0.06
CAM000124,ORD033738,Social Media,2023-08-26,2024-09-04,4260,29371,227049,1512,0.1
CAM000125,ORD013288,TV Commercial,2023-05-01,2024-04-17,1463,107114,140791,1688,0.04
CAM000126,ORD046615,TV Commercial,2023-05-12,2024-09-06,13842,124666,161384,221,0.05
CAM000127,ORD028610,Google Ads,2023-07-28,2024-03-28,4734,178076,48232,1340,0.02
CAM000128,ORD038293,Email Campaign,2023-01-18,2024-11-16,6585,52791,217120,1622,0.04
CAM000129,ORD004710,Google Ads,2023-09-29,2024-09-13,10092,175116,141516,1602,0.09
CAM000130,ORD007311,Google Ads,2023-06-19,2024-04-03,11271,12290,78502,117,0.04
CAM000131,ORD007125,Email Campaign,2023-08-18,2024-11-03,9872,90988,67143,1937,0.07
CAM000132,ORD015255,Social Media,2023-10-21,2024-11-01,13446,26077,217686,741,0.09
CAM000133,ORD000026,Email Campaign,2023-12-01,2024-03-30,12491,11360,184578,1287,0.08
CAM000134,ORD044507,TV Commercial,2023-05-19,2024-03-12,14178,139447,79630,267,0.07
CAM000135,ORD008566,TV Commercial,2023-10-11,2024-11-04,7145,92822,163749,1459,0.03
CAM000136,ORD045038,Radio Ads,2023-06-30,2024-01-07,13507,157374,87964,987,0.04
CAM000137,ORD031419,Radio Ads,2023-08-20,2024-03-17,3329,48576,51766,647,0.04
CAM000138,ORD003988,Email Campaign,2023-06-26,2024-04-13,14405,174105,125250,714,0.04
CAM000139,ORD020876,Radio Ads,2023-07-06,2024-12-07,1097,167311,59876,514,0.02
CAM000140,ORD029957,Email Campaign,2023-08-22,2024-10-16,12368,165992,158078,1574,0.06
CAM000141,ORD025617,TV Commercial,2023-02-01,2024-09-25,5493,46954,84612,440,0.09
CAM000142,ORD031414,TV Commercial,2023-07-04,2024-08-04,4190,7621,164551,1750,0.04
CAM000143,ORD028135,Email Campaign,2023-02-08,2024-10-27,14824,62753,152743,1734,0.02
CAM000144,ORD003145,Radio Ads,2023-06-01,2024-11-04,6944,115009,38700,1896,0.06
CAM000145,ORD041194,TV Commercial,2023-06-06,2024-05-02,17166,142234,14522,542,0.08
CAM000146,ORD035596,Google Ads,2023-05-24,2024-09-18,634,158962,124198,1429,0.09
CAM000147,ORD040041,Radio Ads,2022-12-20,2024-11-06,15648,7668,159948,130,0.01
CAM000148,ORD029843,Radio Ads,2023-02-05,2024-08-30,6745,51038,95683,1536,0.09
CAM000149,ORD012582,Email Campaign,2023-03-02,2024-09-24,8634,189876,219230,417,0.05
CAM000150,ORD043314,Google Ads,2023-12-09,2024-03-29,14730,24293,145813,451,0.03
CAM000151,ORD024948,TV Commercial,2022-12-15,2024-03-28,4116,185811,218763,199,0.02
CAM000152,ORD016794,Radio Ads,2023-09-13,2024-01-11,8032,39287,98694,1608,0.08
CAM000153,ORD009790,TV Commercial,2023-02-02,2024-07-08,4878,194263,150459,1954,0.03
CAM000154,ORD009433,Email Campaign,2023-04-27,2024-08-17,11016,150814,118946,1220,0.02
CAM000155,ORD009194,Social Media,2023-05-08,2024-05-18,15206,49892,150231,394,0.07
CAM000156,ORD024915,Google Ads,2023-03-14,2024-06-11,19418,31300,74920,1411,0.08
CAM000157,ORD027134,TV Commercial,2023-11-15,2024-05-20,8321,50374,102588,218,0.1
CAM000158,ORD006982,Google Ads,2023-08-20,2024-12-08,14866,88844,32257,62,0.05
CAM000159,ORD019792,Social Media,2023-04-02,2024-11-05,6129,151386,170361,1276,0.03
CAM000160,ORD040899,Google Ads,2023-01-22,2024-11-01,4445,127104,76808,1481,0.03
CAM000161,ORD005950,TV Commercial,2023-04-11,2024-12-01,8270,58370,143898,779,0.09
CAM000162,ORD003915,Email Campaign,2023-07-31,2024-07-27,19646,75490,168655,219,0.09
CAM000163,ORD010055,Email Campaign,2023-03-01,2024-10-17,4288,13501,28671,705,0.09
CAM000164,ORD045640,Social Media,2023-06-19,2024-05-22,14763,198133,125107,1482,0.04
CAM000165,ORD024081,Google Ads,2022-12-21,2024-03-23,1352,53612,216357,106,0.01
CAM000166,ORD036659,Radio Ads,2023-12-01,2024-03-30,9400,128764,129874,52,0.06
CAM000167,ORD034719,Email Campaign,2023-10-16,2024-09-17,3719,33123,185504,127,0.1
CAM000168,ORD028593,Radio Ads,2023-09-26,2024-09-03,19153,40474,138564,1164,0.02
CAM000169,ORD000647,Radio Ads,2022-12-14,2024-01-27,7847,190162,166750,1979,0.07
CAM000170,ORD012058,Email Campaign,2023-10-24,2024-01-10,18065,65550,230756,819,0.06
CAM000171,ORD016234,Radio Ads,2023-02-06,2024-09-30,1335,27709,40119,1355,0.04
CAM000172,ORD025990,TV Commercial,2023-07-22,2024-09-19,13470,61517,195326,1791,0.01
CAM000173,ORD020007,TV Commercial,2023-06-06,2024-04-19,16276,147236,119823,1985,0.08
CAM000174,ORD005660,Email Campaign,2023-07-14,2024-09-09,17518,114090,144310,1455,0.02
CAM000175,ORD034440,TV Commercial,2023-05-23,2024-06-01,12825,86034,10081,1315,0.03
CAM000176,ORD019470,TV Commercial,2023-04-25,2024-06-24,17749,193052,236547,567,0.02
CAM000177,ORD011134,Google Ads,2023-12-03,2024-04-02,1266,137136,122535,1703,0.07
CAM000178,ORD004532,Social Media,2023-10-06,2024-03-22,9719,26696,162896,739,0.08
CAM000179,ORD029366,TV Commercial,2023-05-31,2023-12-20,3652,33584,225760,1582,0.07
CAM000180,ORD016731,Radio Ads,2023-09-28,2023-12-22,16794,9923,31099,1982,0.07
CAM000181,ORD026920,Radio Ads,2023-01-11,2024-06-21,19323,78785,63243,349,0.02
CAM000182,ORD038197,TV Commercial,2023-08-06,2024-10-08,5436,162881,72446,374,0.01
CAM000183,ORD026464,Social Media,2023-04-16,2024-09-26,14094,30680,124617,239,0.09
CAM000184,ORD017414,Google Ads,2023-01-04,2024-05-26,13600,23826,177672,661,0.03
CAM000185,ORD030137,Social Media,2023-12-05,2024-11-05,11215,19563,238191,1428,0.05
CAM000186,ORD030215,Social Media,2023-03-04,2024-10-18,4136,13686,49800,389,0.04
CAM000187,ORD020660,TV Commercial,2023-09-20,2024-05-30,9332,83051,200672,170,0.04
CAM000188,ORD018261,Google Ads,2023-03-11,2024-06-20,15215,91765,135664,523,0.04
CAM000189,ORD018505,Social Media,2023-02-25,2024-05-02,18057,37943,84664,375,0.01
CAM000190,ORD002233,TV Commercial,2023-02-08,2024-01-03,7418,62401,220718,989,0.09
CAM000191,ORD044800,Google Ads,2023-02-26,2024-03-25,6095,196395,193665,1375,0.05
CAM000192,ORD044317,Email Campaign,2023-11-10,2024-05-11,19365,146616,177283,1424,0.04
CAM000193,ORD004171,Google Ads,2023-05-23,2024-09-09,18724,125373,97600,585,0.02
CAM000194,ORD003752,TV Commercial,2023-11-08,2024-11-12,1674,174328,36616,1311,0.04
CAM000195,ORD046467,Email Campaign,2023-10-03,2024-10-02,8453,129994,89029,1577,0.09
CAM000196,ORD007074,Google Ads,2023-10-13,2024-04-22,10338,93260,177649,707,0.07
CAM000197,ORD006071,TV Commercial,2023-01-23,2024-11-24,953,67042,36104,903,0.05
CAM000198,ORD020351,TV Commercial,2023-02-22,2024-12-04,16007,131614,122376,898,0.05
CAM000199,ORD018470,Email Campaign,2023-09-02,2024-07-17,12823,116265,28939,1537,0.08
CAM000200,ORD001910,Email Campaign,2023-06-25,2024-02-09,689,181554,236364,829,0.08
CAM000201,ORD013666,TV Commercial,2023-05-05,2024-08-15,7075,152886,23643,1526,0.09
CAM000202,ORD003348,Social Media,2023-09-11,2024-05-15,18363,126409,172488,1233,0.04
CAM000203,ORD043770,Google Ads,2023-05-07,2024-08-01,1810,129651,195019,836,0.1
CAM000204,ORD035529,Email Campaign,2023-02-01,2024-08-09,1701,42596,147157,1895,0.06
CAM000205,ORD036271,Social Media,2023-11-02,2024-05-18,18133,21019,186038,648,0.06
CAM000206,ORD034754,TV Commercial,2023-07-10,2024-12-03,14217,183215,70816,470,0.05
CAM000207,ORD027125,Social Media,2023-08-04,2024-02-12,12288,126066,56312,1791,0.03
CAM000208,ORD045194,Email Campaign,2023-01-27,2024-09-17,18806,126935,141643,377,0.06
CAM000209,ORD023752,Email Campaign,2023-08-12,2024-04-24,18450,58304,136510,1227,0.06
CAM000210,ORD012275,Radio Ads,2023-04-10,2024-10-24,8722,109524,120199,1847,0.05
CAM000211,ORD002271,Social Media,2023-12-03,2023-12-14,9277,164127,100483,1544,0.08
CAM000212,ORD032728,Google Ads,2023-08-19,2024-06-15,8937,51446,233935,497,0.02
CAM000213,ORD000439,Radio Ads,2023-01-16,2024-11-03,11814,195342,134556,1126,0.07
CAM000214,ORD022890,Email Campaign,2023-11-04,2024-09-10,8183,38939,122673,825,0.09
CAM000215,ORD023688,Google Ads,2023-10-03,2024-06-28,14079,160898,144914,1471,0.09
CAM000216,ORD021642,Radio Ads,2023-03-28,2024-04-17,15488,151879,128948,1975,0.01
CAM000217,ORD011404,Email Campaign,2023-03-06,2024-02-23,9942,22859,78986,1607,0.1
CAM000218,ORD016096,Google Ads,2022-12-14,2024-08-15,11822,174670,218712,1859,0.1
CAM000219,ORD011763,Email Campaign,2023-06-25,2023-12-22,3067,149631,183146,1964,0.07
CAM000220,ORD045131,TV Commercial,2023-02-20,2024-08-13,1404,56804,120576,1434,0.06
CAM000221,ORD032672,Google Ads,2023-05-18,2024-09-10,16041,50320,101278,770,0.02
CAM000222,ORD028741,Google Ads,2023-11-12,2024-05-09,13545,101265,29121,718,0.08
CAM000223,ORD002641,TV Commercial,2023-03-05,2024-09-16,17126,69561,203760,1074,0.06
CAM000224,ORD006284,Email Campaign,2023-09-01,2024-08-27,973,86659,69150,1333,0.02
CAM000225,ORD048960,Social Media,2023-01-13,2023-12-24,4623,199907,233106,1257,0.02
CAM000226,ORD005708,Email Campaign,2023-05-31,2024-10-12,8412,62239,193197,1858,0.07
CAM000227,ORD012038,Social Media,2023-06-28,2024-09-10,19089,86913,150979,1786,0.01
CAM000228,ORD027074,Radio Ads,2023-03-06,2024-06-21,7974,13385,193365,1424,0.07
CAM000229,ORD005337,Email Campaign,2023-05-11,2024-08-19,3413,75983,143854,1709,0.05
CAM000230,ORD037556,Google Ads,2022-12-27,2024-03-04,6208,145251,34141,1221,0.07
CAM000231,ORD044374,Email Campaign,2023-01-19,2024-01-21,3294,7442,201232,1462,0.04
CAM000232,ORD029985,Google Ads,2023-01-01,2024-12-05,3231,193610,11230,1069,0.03
CAM000233,ORD022775,Email Campaign,2023-05-13,2024-05-03,18939,156072,16171,283,0.06
CAM000234,ORD006095,Google Ads,2023-10-22,2024-03-26,3190,145572,205291,509,0.03
CAM000235,ORD039788,Google Ads,2023-08-21,2024-08-20,11285,123132,50458,185,0.05
CAM000236,ORD038892,Social Media,2022-12-15,2024-10-14,701,188499,9050,1849,0.03
CAM000237,ORD034908,Social Media,2022-12-29,2024-09-12,15661,65557,166057,1099,0.09
CAM000238,ORD003627,Radio Ads,2023-01-17,2024-05-14,5687,23473,174805,1256,0.07
CAM000239,ORD023615,TV Commercial,2023-09-03,2024-03-21,4893,173088,56673,993,0.02
CAM000240,ORD047873,Email Campaign,2023-11-12,2024-06-23,5531,70065,177195,266,0.03
CAM000241,ORD018807,Google Ads,2023-02-07,2024-08-13,5011,18793,188854,126,0.03
CAM000242,ORD019310,TV Commercial,2022-12-11,2024-06-30,15286,55573,196776,741,0.03
CAM000243,ORD017769,Radio Ads,2023-08-29,2024-02-26,19467,154930,196038,1726,0.03
CAM000244,ORD002552,Social Media,2023-12-08,2024-09-12,17535,176173,106527,1095,0.02
CAM000245,ORD040980,TV Commercial,2023-08-01,2024-08-24,9168,69013,27438,984,0.05
CAM000246,ORD002068,Radio Ads,2023-04-28,2024-07-14,9190,184039,125290,293,0.06
CAM000247,ORD022167,TV Commercial,2023-09-02,2024-01-19,6822,69669,177104,393,0.04
CAM000248,ORD007539,TV Commercial,2023-01-13,2024-05-27,19414,52708,30955,480,0.05
CAM000249,ORD046902,Email Campaign,2023-12-04,2024-03-31,3823,126002,123404,1360,0.07
CAM000250,ORD002208,Radio Ads,2023-08-10,2024-11-17,633,57624,90520,461,0.05
CAM000251,ORD024405,Google Ads,2023-04-03,2024-06-15,7007,154007,190248,409,0.01
CAM000252,ORD035811,Radio Ads,2023-08-28,2024-07-15,964,132672,40894,1808,0.05
CAM000253,ORD049304,Email Campaign,2023-10-03,2024-07-16,7165,183611,175930,448,0.05
CAM000254,ORD013773,Google Ads,2023-11-14,2024-08-17,11271,56006,15986,1791,0.06
CAM000255,ORD006341,Google Ads,2023-04-27,2024-07-31,17124,33657,159536,261,0.08
CAM000256,ORD009585,Radio Ads,2023-03-18,2024-09-20,10429,17528,42367,760,0.07
CAM000257,ORD018854,Email Campaign,2023-09-24,2024-09-01,18394,181266,103357,747,0.02
CAM000258,ORD022832,TV Commercial,2023-03-24,2024-07-04,7816,122762,235311,986,0.08
CAM000259,ORD021435,Google Ads,2023-04-12,2024-08-09,7883,18862,32845,1533,0.04
CAM000260,ORD007485,Email Campaign,2023-11-05,2024-03-04,5752,51958,131174,1170,0.04
CAM000261,ORD023320,Social Media,2023-03-02,2023-12-24,4698,155700,206426,931,0.06
CAM000262,ORD025942,TV Commercial,2023-06-02,2024-01-27,8763,175882,11806,442,0.04
CAM000263,ORD030919,TV Commercial,2023-04-27,2024-10-16,13936,27365,203002,437,0.07
CAM000264,ORD032546,Radio Ads,2023-10-10,2023-12-14,17795,166216,73704,486,0.09
CAM000265,ORD034119,Google Ads,2023-11-17,2024-03-13,3400,188784,233336,911,0.08
CAM000266,ORD032669,Google Ads,2023-06-12,2024-11-16,14659,142648,140150,135,0.06
CAM000267,ORD029385,Social Media,2023-06-10,2024-01-21,8294,101145,82834,437,0.08
CAM000268,ORD006843,Email Campaign,2023-10-10,2024-05-24,1343,20145,206917,863,0.08
CAM000269,ORD027888,Email Campaign,2023-07-10,2024-02-14,8139,32600,189955,1176,0.06
CAM000270,ORD049368,Google Ads,2023-07-14,2024-07-08,8556,87736,126676,354,0.1
CAM000271,ORD004105,Social Media,2023-02-07,2024-11-19,11954,16143,229249,869,0.05
CAM000272,ORD047012,TV Commercial,2023-01-28,2024-08-31,16357,147354,187785,1372,0.02
CAM000273,ORD021511,Google Ads,2023-01-10,2024-09-21,14667,171190,150738,1049,0.07
CAM000274,ORD046889,Social Media,2023-10-01,2024-02-12,7472,196558,195289,1113,0.02
CAM000275,ORD036069,Radio Ads,2023-01-18,2024-06-19,15991,152478,236980,656,0.03
CAM000276,ORD031018,TV Commercial,2022-12-27,2023-12-26,11718,99705,29826,1464,0.07
CAM000277,ORD048151,Email Campaign,2023-10-21,2024-05-03,9349,78228,33456,585,0.05
CAM000278,ORD000427,Email Campaign,2023-05-11,2024-01-01,13829,6597,223926,902,0.07
CAM000279,ORD001762,Radio Ads,2023-06-23,2024-12-02,15875,133249,13299,1451,0.08
CAM000280,ORD032011,Social Media,2023-03-23,2024-04-06,19018,147762,161574,1816,0.03
CAM000281,ORD020534,TV Commercial,2023-03-25,2024-04-05,7698,31283,119352,1242,0.07
CAM000282,ORD014755,Radio Ads,2023-06-11,2024-10-19,12596,120888,104386,1827,0.02
CAM000283,ORD027001,Email Campaign,2023-04-05,2024-04-19,10754,83780,238713,405,0.04
CAM000284,ORD038024,Google Ads,2023-01-31,2023-12-27,4174,32218,136690,397,0.03
CAM000285,ORD021855,Email Campaign,2023-11-02,2024-11-01,1524,24808,29184,382,0.02
CAM000286,ORD042704,Google Ads,2023-12-08,2024-10-26,12724,187015,99278,1135,0.07
CAM000287,ORD035004,Radio Ads,2023-09-02,2024-08-13,17599,113558,133182,565,0.01
CAM000288,ORD036978,Email Campaign,2023-10-26,2024-09-16,1207,19196,165244,1537,0.01
CAM000289,ORD049523,Radio Ads,2023-11-11,2024-09-01,11283,138199,57944,172,0.07
CAM000290,ORD023297,TV Commercial,2023-07-23,2024-08-26,8837,15316,144987,482,0.04
