financial_id,order_id,cogs,operational_expenses,other_expenses,total_revenue,profit,financial_date,taxes_paid,discount_given
FIN000036,ORD000036,578,2565,2429,1776,8853,2024-06-11,235,167
FIN000037,ORD000037,827,3270,1652,7747,3370,2024-07-03,152,235
FIN000038,ORD000038,825,2579,2501,6766,4060,2024-02-08,239,172
FIN000039,ORD000039,184,2250,2738,5786,6203,2023-03-16,404,151
FIN000040,ORD000040,753,2761,985,3447,642,2023-12-12,383,7
FIN000041,ORD000041,500,1810,1856,8042,4818,2023-10-09,266,54
FIN000042,ORD000042,329,3720,296,5321,3327,2023-01-11,37,90
FIN000043,ORD000043,303,2097,1079,1231,4086,2024-06-04,135,235
FIN000044,ORD000044,620,1246,1927,4568,7949,2023-07-19,288,89
FIN000045,ORD000045,152,1122,2927,3865,2209,2024-10-12,354,276
FIN000046,ORD000046,698,2548,1669,8765,4657,2024-04-10,260,138
FIN000047,ORD000047,832,1262,2036,2462,7383,2024-05-28,181,155
FIN000048,ORD000048,383,3074,1773,858,315,2023-11-22,175,92
FIN000049,ORD000049,383,1102,1188,7391,868,2023-02-03,447,108
FIN000050,ORD000050,406,3240,227,727,-242,2023-08-19,417,100
FIN000051,ORD000051,860,2001,830,4002,1295,2023-01-17,21,284
FIN000052,ORD000052,160,1608,1419,5433,2658,2023-05-10,314,202
FIN000053,ORD000053,355,4498,805,1512,7104,2023-04-14,474,128
FIN000054,ORD000054,275,4926,2817,5052,2775,2024-03-27,319,134
FIN000055,ORD000055,109,2340,2039,6899,7288,2024-07-30,161,287
FIN000056,ORD000056,219,2971,2192,9284,8010,2023-05-31,77,69
FIN000057,ORD000057,460,3415,2219,6218,8817,2023-03-23,297,191
FIN000058,ORD000058,739,2310,1664,6075,7246,2023-05-04,195,229
FIN000059,ORD000059,448,2508,830,4118,1939,2024-05-21,433,105
FIN000060,ORD000060,223,641,1483,3237,6933,2024-11-11,412,133
FIN000061,ORD000061,190,4572,1532,4501,3384,2023-04-06,159,26
FIN000062,ORD000062,280,2993,2751,4113,4775,2024-03-21,396,264
FIN000063,ORD000063,777,779,297,5332,7085,2023-03-30,207,28
FIN000064,ORD000064,153,662,1841,8279,6584,2023-08-18,148,152
FIN000065,ORD000065,954,1427,1941,1176,8762,2023-03-20,492,245
FIN000066,ORD000066,556,645,2129,3515,6401,2024-04-26,493,45
FIN000067,ORD000067,492,1838,1744,6866,3138,2024-11-12,26,26
FIN000068,ORD000068,701,4628,1795,634,6824,2023-07-07,33,114
FIN000069,ORD000069,908,4038,239,6888,4894,2023-07-15,105,215
FIN000070,ORD000070,560,1776,420,1017,1665,2022-12-30,497,11
FIN000071,ORD000071,834,979,2861,8943,4227,2024-10-02,25,6
FIN000072,ORD000072,840,1712,1093,2775,746,2024-09-10,192,50
FIN000073,ORD000073,535,3129,783,1304,1324,2023-10-08,420,132
FIN000074,ORD000074,272,4936,2823,4291,5885,2024-11-29,183,152
FIN000075,ORD000075,534,1002,2518,8021,1528,2024-07-26,278,177
FIN000076,ORD000076,847,1399,935,9182,6808,2024-01-12,247,180
FIN000077,ORD000077,642,2859,1187,5409,-329,2024-02-12,228,81
FIN000078,ORD000078,550,2212,700,3552,-204,2024-01-10,197,172
FIN000079,ORD000079,752,587,540,4218,7188,2024-02-21,385,40
FIN000080,ORD000080,564,1622,2184,6262,7617,2024-03-19,262,118
FIN000081,ORD000081,333,3799,173,8816,3654,2024-05-26,377,90
FIN000082,ORD000082,188,1328,1240,6320,6934,2024-02-11,434,297
FIN000083,ORD000083,468,2705,908,8160,2914,2023-08-28,44,214
FIN000084,ORD000084,561,3937,2129,7978,7841,2023-04-03,357,278
FIN000085,ORD000085,834,1785,314,9877,8593,2024-05-08,166,110
FIN000086,ORD000086,537,3946,375,3262,6372,2024-04-05,183,141
FIN000087,ORD000087,120,829,974,762,4625,2024-01-29,153,245
FIN000088,ORD000088,744,3716,1650,4851,1787,2023-04-05,470,76
FIN000089,ORD000089,883,2718,827,9481,2902,2023-01-15,420,269
FIN000090,ORD000090,424,4652,2212,3034,7219,2023-06-11,195,167
FIN000091,ORD000091,574,1529,2067,4685,4873,2023-02-06,457,214
FIN000092,ORD000092,379,2161,2882,1076,4992,2023-09-29,58,98
FIN000093,ORD000093,922,1679,2423,3708,4839,2023-12-24,180,26
FIN000094,ORD000094,519,4415,2082,6289,8733,2024-02-03,304,288
FIN000095,ORD000095,582,3988,2388,6922,3427,2024-03-01,478,263
FIN000096,ORD000096,789,1622,1825,3431,3955,2024-10-22,26,131
FIN000097,ORD000097,757,511,1735,7521,-167,2023-04-19,86,105
FIN000098,ORD000098,634,3878,1165,2330,2023,2023-10-11,399,204
FIN000099,ORD000099,303,4251,1197,2483,8190,2023-07-25,254,219
FIN000100,ORD000100,230,3463,314,3150,-90,2024-01-01,381,232
FIN000101,ORD000101,965,2535,2722,1457,8758,2024-10-21,413,242
FIN000102,ORD000102,745,3920,472,9502,4271,2023-06-20,427,1
FIN000103,ORD000103,170,1624,1410,6018,1673,2024-08-06,419,27
FIN000104,ORD000104,641,4025,2655,5703,3224,2023-09-21,466,266
FIN000105,ORD000105,207,1691,2287,4529,4526,2024-06-08,461,253
FIN000106,ORD000106,566,2643,1944,4374,7946,2023-04-12,321,220
FIN000107,ORD000107,968,1111,2395,2904,8982,2024-11-06,458,117
FIN000108,ORD000108,825,1437,1300,4903,6433,2023-08-21,230,72
FIN000109,ORD000109,699,1185,1974,6475,1686,2023-08-29,167,96
FIN000110,ORD000110,717,1290,1423,5577,8201,2023-08-21,154,179
FIN000111,ORD000111,131,1109,2909,4040,1263,2024-09-01,285,282
FIN000112,ORD000112,744,4194,2162,1884,7287,2024-08-27,377,245
FIN000113,ORD000113,409,1368,364,2595,8473,2023-06-15,388,60
FIN000114,ORD000114,647,1287,2576,596,2349,2023-05-18,493,55
FIN000115,ORD000115,388,672,1480,2568,464,2023-11-27,420,71
FIN000116,ORD000116,465,3044,859,8928,7770,2024-07-10,461,92
FIN000117,ORD000117,158,3875,2729,9888,8512,2023-07-27,447,43
FIN000118,ORD000118,649,534,320,4893,4768,2022-12-15,89,144
FIN000119,ORD000119,411,3311,390,6481,8555,2023-10-25,365,14
FIN000120,ORD000120,352,1786,908,8614,3146,2024-06-15,223,49
FIN000121,ORD000121,254,2371,404,3625,5307,2022-12-11,116,155
FIN000122,ORD000122,849,2609,2960,9963,8196,2024-10-04,407,88
FIN000123,ORD000123,381,2047,480,1720,8469,2023-11-26,351,28
FIN000124,ORD000124,925,2920,437,6441,-180,2023-01-15,282,2
FIN000125,ORD000125,522,3866,536,1497,2348,2024-11-07,412,218
FIN000126,ORD000126,163,4072,604,6274,7626,2023-05-31,50,154
FIN000127,ORD000127,699,2914,1577,7481,6346,2023-02-06,89,37
FIN000128,ORD000128,412,3250,1205,5251,-221,2024-06-13,450,258
FIN000129,ORD000129,373,2249,2222,7345,6936,2023-03-10,480,250
FIN000130,ORD000130,748,1349,1348,9521,1313,2023-02-14,230,93
FIN000131,ORD000131,186,3643,1147,7638,5783,2024-03-02,81,144
FIN000132,ORD000132,401,1029,467,8131,4412,2023-12-14,268,288
FIN000133,ORD000133,726,2173,1675,9502,1448,2024-08-03,111,204
FIN000134,ORD000134,356,3664,1346,6668,5071,2024-08-25,364,293
FIN000135,ORD000135,753,731,2471,7725,3221,2024-01-05,254,87
FIN000136,ORD000136,270,1701,1457,4486,8715,2023-07-24,462,137
FIN000137,ORD000137,763,2074,2763,762,-475,2023-05-21,442,21
FIN000138,ORD000138,383,1792,1569,6037,6492,2024-02-29,159,281
FIN000139,ORD000139,798,3260,126,9851,8024,2023-09-22,180,238
FIN000140,ORD000140,999,3093,2771,8771,7718,2023-01-07,313,209
FIN000141,ORD000141,332,3573,1601,7038,-191,2024-02-09,175,17
FIN000142,ORD000142,491,1653,521,1253,4914,2024-11-18,102,220
FIN000143,ORD000143,371,2199,731,7087,4376,2023-03-26,401,181
FIN000144,ORD000144,679,2530,2831,6836,3195,2024-06-25,353,209
FIN000145,ORD000145,761,2484,408,1987,4632,2024-07-24,218,10
FIN000146,ORD000146,370,814,1215,4264,6862,2023-02-09,123,196
FIN000147,ORD000147,242,2739,1177,5416,1503,2024-10-18,284,206
FIN000148,ORD000148,701,2842,1155,4245,2105,2023-11-02,402,67
FIN000149,ORD000149,187,3662,2689,2490,5392,2024-04-07,37,112
FIN000150,ORD000150,800,1614,2839,9835,4833,2023-01-12,17,40
FIN000151,ORD000151,162,4678,2154,4068,3768,2023-10-12,259,294
FIN000152,ORD000152,938,2160,1206,1507,5457,2023-10-24,110,60
FIN000153,ORD000153,127,1712,1685,7511,3936,2024-03-03,481,45
FIN000154,ORD000154,849,2340,2852,751,4077,2024-03-24,205,35
FIN000155,ORD000155,312,3197,230,3160,-397,2024-09-10,300,93
FIN000156,ORD000156,318,1026,2898,3585,3101,2023-09-24,211,131
FIN000157,ORD000157,709,2723,2650,9475,1841,2023-01-23,210,254
FIN000158,ORD000158,412,4387,178,5688,7407,2022-12-15,417,100
FIN000159,ORD000159,811,3411,805,9157,3046,2024-05-15,249,143
FIN000160,ORD000160,535,4799,2838,7590,8553,2024-07-31,294,8
FIN000161,ORD000161,615,1744,1731,4936,8577,2023-04-26,33,275
FIN000162,ORD000162,307,526,1318,8088,4920,2024-07-16,460,185
FIN000163,ORD000163,369,3749,2513,6166,314,2023-11-10,282,203
FIN000164,ORD000164,911,1943,1851,4017,6802,2023-02-16,379,143
FIN000165,ORD000165,347,4249,2596,7799,8133,2023-04-06,307,257
FIN000166,ORD000166,931,2427,1728,4071,8529,2023-12-27,110,170
FIN000167,ORD000167,516,2938,2428,830,4269,2023-05-28,57,88
FIN000168,ORD000168,450,4150,1792,6863,2547,2024-10-11,293,110
FIN000169,ORD000169,867,1563,366,8689,132,2023-10-17,360,114
FIN000170,ORD000170,502,4644,806,1120,2049,2023-09-01,270,130
FIN000171,ORD000171,503,2005,562,7682,3944,2023-08-14,209,157
FIN000172,ORD000172,154,1600,2984,7587,6546,2023-01-07,324,225
FIN000173,ORD000173,507,3665,1130,5817,7165,2023-05-28,296,180
FIN000174,ORD000174,607,1853,1826,9515,6594,2023-10-07,251,106
FIN000175,ORD000175,763,1812,2798,1869,776,2023-01-03,152,289
FIN000176,ORD000176,943,3863,2842,7397,8580,2024-04-29,176,249
FIN000177,ORD000177,449,4978,449,4664,7390,2023-12-29,123,49
FIN000178,ORD000178,544,2744,1179,2588,8092,2023-02-07,266,259
FIN000179,ORD000179,567,2373,1222,8478,7110,2023-10-28,435,187
FIN000180,ORD000180,679,2123,2983,9672,1730,2023-07-27,448,101
FIN000181,ORD000181,190,4433,2344,3767,202,2024-11-12,175,171
FIN000182,ORD000182,224,773,386,5327,8380,2024-10-18,199,13
FIN000183,ORD000183,893,3218,281,5731,2417,2023-09-30,298,299
FIN000184,ORD000184,998,4747,2022,9706,7383,2024-07-19,481,138
FIN000185,ORD000185,614,4535,1829,4210,2647,2023-06-03,32,30
FIN000186,ORD000186,450,2856,1630,7888,3999,2023-05-03,255,85
FIN000187,ORD000187,176,4678,323,6935,2031,2024-04-11,208,62
FIN000188,ORD000188,191,3841,838,9361,3409,2024-11-25,196,48
FIN000189,ORD000189,371,545,2587,7222,6059,2023-07-19,171,11
FIN000190,ORD000190,569,613,2708,4660,3571,2023-11-08,25,237
FIN000191,ORD000191,704,2687,1371,5352,6732,2024-10-04,494,189
FIN000192,ORD000192,106,4361,2812,1413,-439,2024-06-23,98,34
FIN000193,ORD000193,992,1420,2933,3330,6355,2024-09-25,55,136
FIN000194,ORD000194,778,1896,1868,7180,6567,2023-05-17,468,200
FIN000195,ORD000195,272,658,1959,8781,761,2023-11-04,363,242
FIN000196,ORD000196,382,1104,1415,1560,1112,2024-08-23,205,32
FIN000197,ORD000197,838,4238,2319,2956,3822,2024-03-01,349,90
FIN000198,ORD000198,880,2294,396,9902,5701,2024-09-26,278,118
FIN000199,ORD000199,319,4125,248,4904,-484,2023-01-06,355,244
FIN000200,ORD000200,730,3896,1343,673,4369,2023-11-30,293,121
FIN000201,ORD000201,963,2400,2253,4366,4370,2023-02-09,341,29
FIN000202,ORD000202,998,3686,2793,744,4427,2024-09-27,57,239
FIN000203,ORD000203,577,520,1520,9340,-277,2024-05-08,272,287
FIN000204,ORD000204,301,3164,874,5767,4549,2024-01-25,135,168
FIN000205,ORD000205,493,2786,841,7387,5020,2024-02-04,227,160
FIN000206,ORD000206,248,753,1325,2322,8955,2024-03-03,296,283
FIN000207,ORD000207,700,3336,459,2979,8213,2023-10-28,179,205
FIN000208,ORD000208,147,3439,976,1166,1544,2024-09-26,11,219
FIN000209,ORD000209,308,3884,2470,942,8089,2023-05-14,212,248
FIN000210,ORD000210,611,4150,457,2008,2916,2023-01-20,388,15
FIN000211,ORD000211,181,4535,2064,8994,-477,2023-08-14,54,93
FIN000212,ORD000212,478,4191,2898,6290,7474,2023-11-23,32,240
FIN000213,ORD000213,699,2966,827,3176,3650,2023-10-12,395,32
FIN000214,ORD000214,304,4271,101,8306,8951,2023-11-04,93,102
FIN000215,ORD000215,920,2177,2843,8098,1749,2024-02-09,431,287
FIN000216,ORD000216,289,983,1421,5578,3381,2023-12-11,435,228
FIN000217,ORD000217,852,882,169,9043,2122,2023-07-12,142,196
FIN000218,ORD000218,572,755,2981,9915,1682,2023-04-05,418,65
FIN000219,ORD000219,848,1237,2529,2474,1069,2024-06-20,22,179
FIN000220,ORD000220,473,4138,2020,3414,1313,2023-12-07,132,88
FIN000221,ORD000221,999,4265,1491,8885,2536,2022-12-10,277,3
FIN000222,ORD000222,552,4021,2352,4405,7408,2023-05-20,185,163
FIN000223,ORD000223,361,2740,836,9831,8989,2023-07-03,472,215
FIN000224,ORD000224,957,1712,2665,7211,-459,2023-05-17,23,256
FIN000225,ORD000225,360,1702,2335,705,7234,2024-06-07,217,184
FIN000226,ORD000226,515,1350,2817,8692,5368,2023-10-17,169,33
FIN000227,ORD000227,116,4233,2851,4229,2741,2023-10-27,160,104
FIN000228,ORD000228,264,2401,1789,5134,1509,2023-04-23,445,287
FIN000229,ORD000229,667,3626,2922,8796,4526,2023-11-06,394,87
FIN000230,ORD000230,870,4190,1722,3778,2523,2023-09-05,298,134
FIN000231,ORD000231,459,2664,605,6584,1513,2023-10-23,479,176
FIN000232,ORD000232,400,4429,1191,1286,332,2023-01-29,148,269
FIN000233,ORD000233,601,3357,1972,3041,3288,2024-05-09,299,184
FIN000234,ORD000234,530,2393,1259,8347,7417,2023-01-18,480,86
FIN000235,ORD000235,260,4847,165,8542,7165,2024-10-19,63,6
FIN000236,ORD000236,346,929,2156,5691,4756,2024-04-18,365,256
FIN000237,ORD000237,342,3487,224,1495,1762,2024-01-17,152,72
FIN000238,ORD000238,456,3373,1278,3951,3203,2024-01-23,348,94
FIN000239,ORD000239,948,2871,971,4285,7691,2024-10-24,423,35
FIN000240,ORD000240,690,2264,860,8435,1879,2023-08-29,394,171
FIN000241,ORD000241,685,1422,1794,832,5469,2024-07-14,478,157
FIN000242,ORD000242,749,4676,2060,8220,7608,2023-01-08,496,249
FIN000243,ORD000243,957,4159,2386,9965,3840,2024-06-01,334,107
FIN000244,ORD000244,478,4104,526,610,5802,2024-02-19,475,155
FIN000245,ORD000245,761,816,1104,535,1541,2023-04-29,96,35
FIN000246,ORD000246,654,777,2800,9794,5521,2024-03-04,396,104
FIN000247,ORD000247,327,3001,758,803,784,2024-02-17,449,37
FIN000248,ORD000248,628,2836,1594,6132,6662,2023-01-04,110,37
FIN000249,ORD000249,395,1875,688,4074,6626,2023-02-11,56,296
FIN000250,ORD000250,694,2616,1693,2276,6099,2022-12-28,164,273
FIN000251,ORD000251,646,1849,347,2815,8908,2024-03-02,71,122
FIN000252,ORD000252,763,3875,1361,6695,6380,2024-02-24,240,194
FIN000253,ORD000253,376,916,574,4306,2924,2023-10-05,189,30
FIN000254,ORD000254,694,1375,1177,5119,3222,2024-02-07,188,239
FIN000255,ORD000255,305,998,1436,2694,7814,2024-04-10,383,88
FIN000256,ORD000256,825,564,739,1279,-297,2024-09-30,250,180
FIN000257,ORD000257,905,1279,1635,7118,5973,2023-08-27,15,78
FIN000258,ORD000258,774,3350,2027,9592,7380,2024-09-19,221,228
FIN000259,ORD000259,137,2389,2859,4271,6907,2023-12-19,211,150
FIN000260,ORD000260,800,697,2774,8894,6671,2023-06-20,471,34
FIN000261,ORD000261,970,1258,2597,4206,5390,2024-09-17,24,190
FIN000262,ORD000262,901,3019,2882,3957,4767,2023-08-14,283,211
FIN000263,ORD000263,360,4574,1932,1010,4803,2023-03-23,41,299
FIN000264,ORD000264,634,1374,597,963,2385,2023-09-01,188,263
FIN000265,ORD000265,744,2057,303,5390,8584,2024-04-25,36,185
FIN000266,ORD000266,356,4184,2754,7993,1793,2023-07-05,158,89
FIN000267,ORD000267,190,2874,2080,9538,1273,2023-01-21,258,107
FIN000268,ORD000268,276,1605,1672,535,3123,2023-06-07,339,279
FIN000269,ORD000269,331,1384,2145,5899,-102,2024-06-21,240,192
FIN000270,ORD000270,612,2171,1200,4341,6185,2024-05-28,120,17
FIN000271,ORD000271,504,2779,2371,1247,4717,2024-11-03,324,212
FIN000272,ORD000272,414,2152,169,4420,8207,2023-06-11,115,93
FIN000273,ORD000273,618,4266,1917,7552,751,2023-04-16,212,91
FIN000274,ORD000274,848,4377,1446,5438,944,2024-03-03,400,117
FIN000275,ORD000275,851,4840,653,6473,3535,2024-05-26,446,113
FIN000276,ORD000276,528,3522,2777,4088,-252,2023-12-14,323,80
FIN000277,ORD000277,145,934,892,3365,5185,2024-09-13,409,133
FIN000278,ORD000278,663,1128,2512,4297,5178,2024-06-12,51,56
FIN000279,ORD000279,465,1104,2560,3575,8753,2022-12-20,268,83
FIN000280,ORD000280,242,1075,1040,7546,5280,2023-02-10,458,67
FIN000281,ORD000281,368,3217,295,1254,5968,2023-09-29,345,252
FIN000282,ORD000282,767,1778,2974,2873,6036,2024-08-31,462,118
FIN000283,ORD000283,627,1000,1933,1102,2004,2024-06-14,319,148
FIN000284,ORD000284,524,997,441,9169,6779,2023-02-20,355,129
FIN000285,ORD000285,438,827,311,5126,4237,2023-01-10,203,237
FIN000286,ORD000286,882,2088,1404,7843,4908,2024-10-26,183,36
FIN000287,ORD000287,878,1010,2313,1242,3409,2024-07-14,498,205
FIN000288,ORD000288,543,4246,840,3107,5014,2024-09-04,51,18
FIN000289,ORD000289,583,2043,1280,739,7027,2024-08-03,231,293
FIN000290,ORD000290,324,2682,1065,9816,8612,2023-09-13,165,241
FIN000291,ORD000291,618,4798,1322,6827,2872,2024-10-08,233,111
FIN000292,ORD000292,621,3216,1155,651,624,2023-04-23,160,185
FIN000293,ORD000293,726,720,2082,4584,1634,2023-04-24,37,125
FIN000294,ORD000294,681,2149,2485,2483,7663,2023-12-11,480,27
FIN000295,ORD000295,447,4849,1492,8462,800,2023-12-18,43,271
FIN000296,ORD000296,999,3831,1804,2579,1203,2024-05-04,336,74
FIN000297,ORD000297,580,1623,1808,7332,4548,2024-06-02,438,207
FIN000298,ORD000298,105,3406,1138,4182,2339,2024-01-09,227,86
FIN000299,ORD000299,814,2059,2819,9413,6981,2023-09-06,268,121
FIN000300,ORD000300,252,3592,573,7838,6700,2024-02-03,440,187
FIN000301,ORD000301,554,672,1662,6417,8725,2023-04-17,479,146
FIN000302,ORD000302,307,2230,1220,9493,7894,2024-03-12,231,80
FIN000303,ORD000303,868,4898,108,587,5799,2023-04-23,17,287
FIN000304,ORD000304,162,673,1868,2083,1996,2024-07-09,439,276
FIN000305,ORD000305,657,4321,1383,2551,2638,2023-04-14,370,112
FIN000306,ORD000306,626,2717,190,4440,5843,2023-03-16,202,4
FIN000307,ORD000307,455,1505,2008,8302,3538,2024-11-17,100,244
FIN000308,ORD000308,139,1193,2368,4220,5238,2023-05-31,188,253
FIN000309,ORD000309,495,2962,1084,1835,2695,2023-09-28,268,272
FIN000310,ORD000310,688,3191,2436,9591,1187,2023-07-20,374,193
FIN000311,ORD000311,308,565,1809,1725,7033,2023-11-17,389,235
FIN000312,ORD000312,982,2166,2010,4558,2983,2024-06-08,387,23
FIN000313,ORD000313,289,3160,2556,2928,7061,2023-08-11,92,108
FIN000314,ORD000314,127,4149,626,2320,3668,2023-03-17,275,88
FIN000315,ORD000315,607,3013,359,5599,4418,2024-11-10,69,234
FIN000316,ORD000316,826,1463,2574,6582,3968,2024-10-26,414,62
FIN000317,ORD000317,924,3373,1202,1339,6318,2023-12-01,113,5
FIN000318,ORD000318,911,751,214,5926,5202,2024-08-19,273,212
FIN000319,ORD000319,588,4190,1784,7725,2066,2023-02-07,375,193
FIN000320,ORD000320,960,767,206,5711,5388,2024-09-30,465,249
FIN000321,ORD000321,345,1216,170,8611,244,2024-10-27,391,54
FIN000322,ORD000322,920,1565,698,4500,1133,2024-04-14,482,297
FIN000323,ORD000323,842,1329,2172,2017,3469,2023-01-07,139,47
FIN000324,ORD000324,278,3332,1434,2824,4060,2024-10-08,147,272
FIN000325,ORD000325,722,1258,1364,5377,4370,2022-12-28,160,193
FIN000326,ORD000326,328,4883,1600,8821,162,2024-05-09,148,160
FIN000327,ORD000327,697,4232,1126,8780,3449,2024-01-26,49,15
FIN000328,ORD000328,719,1610,1998,8768,6087,2023-07-30,371,61
FIN000329,ORD000329,993,1541,2457,5563,5386,2024-10-31,479,213
FIN000330,ORD000330,124,4138,1650,5124,8614,2023-07-14,293,213
FIN000331,ORD000331,191,4484,903,9487,5694,2023-02-13,115,299
FIN000332,ORD000332,305,3578,2809,9236,5086,2023-09-01,446,119
FIN000333,ORD000333,227,1759,2080,2242,7531,2024-08-16,113,153
FIN000334,ORD000334,620,3912,2100,7887,4889,2024-03-06,482,93
FIN000335,ORD000335,363,2095,377,1092,-127,2023-12-04,493,14
FIN000336,ORD000336,391,4750,2897,7158,4090,2024-01-03,492,291
FIN000337,ORD000337,181,2245,2985,3674,-124,2022-12-17,206,155
FIN000338,ORD000338,557,573,1676,9410,4147,2023-12-03,93,17
FIN000339,ORD000339,891,4714,648,4854,5362,2023-08-18,258,229
FIN000340,ORD000340,574,1744,1259,6140,2086,2023-08-08,192,259
FIN000341,ORD000341,514,1063,1016,6446,6621,2024-10-11,350,233
FIN000342,ORD000342,819,3904,2172,6346,2945,2023-02-21,121,42
FIN000343,ORD000343,287,3253,1649,7188,5648,2023-08-25,38,94
FIN000344,ORD000344,506,878,536,6901,3248,2023-01-04,448,128
FIN000345,ORD000345,478,3230,2174,1941,4147,2023-02-24,96,42
FIN000346,ORD000346,599,1176,2317,3062,7922,2024-05-26,182,280
FIN000347,ORD000347,147,2057,1474,1249,8333,2023-10-06,104,170
FIN000348,ORD000348,140,2038,2122,1667,3091,2024-06-05,15,16
FIN000349,ORD000349,810,4270,1297,7462,7608,2023-03-16,63,299
FIN000350,ORD000350,657,1651,1817,2939,4181,2023-07-13,290,197
FIN000351,ORD000351,483,1420,2376,9941,1112,2023-09-21,99,125
FIN000352,ORD000352,926,3197,2589,5581,6313,2023-04-04,473,288
FIN000353,ORD000353,697,2586,1168,6273,8112,2024-05-19,463,1
FIN000354,ORD000354,878,4697,2088,4071,3979,2024-08-12,206,44
FIN000355,ORD000355,103,1357,397,7728,470,2024-04-05,405,190
FIN000356,ORD000356,839,4689,1491,7779,2848,2024-06-07,300,70
FIN000357,ORD000357,590,1618,205,4376,7563,2024-11-20,456,249
FIN000358,ORD000358,583,532,458,7369,2430,2024-11-22,488,286
FIN000359,ORD000359,600,1377,2056,9630,6917,2023-12-27,50,54
FIN000360,ORD000360,765,701,2364,1248,5167,2023-03-31,120,39
FIN000361,ORD000361,819,2896,1431,1651,8006,2023-04-01,123,217
FIN000362,ORD000362,425,2892,1082,1958,510,2024-09-16,499,2
FIN000363,ORD000363,326,2180,151,2002,3063,2023-07-03,102,76
FIN000364,ORD000364,517,2203,1885,6222,8959,2022-12-19,13,63
FIN000365,ORD000365,272,3455,1914,2238,1695,2024-05-19,324,67
FIN000366,ORD000366,685,2541,2109,1499,1278,2024-06-16,463,174
FIN000367,ORD000367,328,914,1110,5322,823,2024-04-08,101,198
FIN000368,ORD000368,329,3538,2838,2097,8857,2024-03-04,277,67
FIN000369,ORD000369,300,3974,133,7473,4747,2023-12-27,296,99
FIN000370,ORD000370,973,1540,803,5359,3529,2024-10-15,449,154
FIN000371,ORD000371,238,4885,1209,8675,1121,2024-03-18,335,291
FIN000372,ORD000372,497,2242,2387,4159,554,2024-04-27,490,178
FIN000373,ORD000373,373,1717,2969,3352,682,2023-09-07,441,53
FIN000374,ORD000374,381,1108,881,9608,7843,2023-11-21,455,223
FIN000375,ORD000375,933,3526,1364,2424,8970,2024-06-09,188,57
FIN000376,ORD000376,247,4110,530,8032,5153,2023-05-16,498,258
FIN000377,ORD000377,739,3056,571,3645,-291,2023-11-04,440,66
FIN000378,ORD000378,220,3491,2156,1742,2937,2024-11-01,120,198
FIN000379,ORD000379,811,3886,2046,5568,6265,2024-06-27,425,237
FIN000380,ORD000380,637,1403,304,8017,3217,2023-05-22,390,198
FIN000381,ORD000381,265,2375,2730,6811,2522,2024-06-11,87,24
